dataset_id, Tries ,time_taken,card,xsize,ysize,vertices_bound_min,vertices_bound_max,irregularity_clip,spikiness_clip
f6c0bbc2-902a-4fcf-ac57-9d0d88dc7be5,1,1.86,1000,10000,10000,3,50,0.6,0.6
8262af73-fc06-4d35-910b-2705ca0d89cb,2,0.53,1000,10000,10000,3,50,0.6,0.6
b047d08f-5b0f-404e-962b-c4e25869e419,1,2.87,10000,10000,10000,3,50,0.6,0.6
7a5977a6-45dc-46c3-a2dd-de49de2663a7,2,2.82,10000,10000,10000,3,50,0.6,0.6
4a24b8de-61f6-4685-bd9e-02100c27c31e,1,5.82,20000,10000,10000,3,50,0.6,0.6
9cfac937-8dd1-46cd-b38c-92c294cc96e1,2,5.25,20000,10000,10000,3,50,0.6,0.6
6b619cc3-da22-4014-a469-5ca97a9253d7,1,7.83,30000,10000,10000,3,50,0.6,0.6
134a0a2a-8431-41b6-8be0-73f23114ec81,2,8.16,30000,10000,10000,3,50,0.6,0.6
37b8f01f-e30e-4ba1-b091-d50baaa073ca,1,11.60,40000,10000,10000,3,50,0.6,0.6
e90ad9df-ac71-4fe8-929e-0dcf2dafc5ca,2,11.24,40000,10000,10000,3,50,0.6,0.6
bbbe613c-24b4-4bd5-91f2-9aa16b1fe4d7,1,13.49,50000,10000,10000,3,50,0.6,0.6
043fbd1e-9ff3-4859-b935-a10a0abed90d,2,13.86,50000,10000,10000,3,50,0.6,0.6
fb723b02-7d27-44b0-8788-1dd04e8bd265,1,16.51,60000,10000,10000,3,50,0.6,0.6
ca88047a-23d2-4597-92a8-a6dcf80ece4e,2,16.68,60000,10000,10000,3,50,0.6,0.6
30b2f8f9-906f-41f5-8804-6f3741ba0ca5,1,18.90,70000,10000,10000,3,50,0.6,0.6
c7b1ba83-7311-441b-a20e-027daa7e0acd,2,18.62,70000,10000,10000,3,50,0.6,0.6
e6e83909-f5c1-4e73-84a2-7b7a68e57c95,1,22.23,80000,10000,10000,3,50,0.6,0.6
4fb17618-d799-4476-af55-bc205704a201,2,20.68,80000,10000,10000,3,50,0.6,0.6
ba691e8b-acc8-409f-aa2d-5bd847339725,1,25.40,90000,10000,10000,3,50,0.6,0.6
80e84139-46e2-4e97-b196-f419868ae032,2,28.48,90000,10000,10000,3,50,0.6,0.6
36e2cf32-130b-4551-a112-ed14b07f6476,1,27.29,100000,10000,10000,3,50,0.6,0.6
7518b8fe-d671-42f4-b01c-4a8217526907,2,27.22,100000,10000,10000,3,50,0.6,0.6
96eece79-8daa-4668-8bed-fb366efeb323,1,56.11,200000,10000,10000,3,50,0.6,0.6
30ee99cd-77fe-4fa4-8f67-c0a4670ef2be,2,56.55,200000,10000,10000,3,50,0.6,0.6
4cd9fc3d-2307-46c5-9a9c-f09b639738f5,1,96.91,300000,10000,10000,3,50,0.6,0.6
218e21c6-4ee6-4885-9208-d8897f061ac3,2,96.59,300000,10000,10000,3,50,0.6,0.6
ec1e6713-e3a1-43fc-9801-8384704c9de9,1,122.51,400000,10000,10000,3,50,0.6,0.6
2d85bc7d-873d-47be-a3dd-89f937fdfd79,2,127.83,400000,10000,10000,3,50,0.6,0.6
33bbf1ad-928f-43ba-8aa1-ae6d652032bf,1,161.33,500000,10000,10000,3,50,0.6,0.6
b78b98c6-0209-49f4-bc61-d6643202b47d,2,163.55,500000,10000,10000,3,50,0.6,0.6
91bafda7-0923-4ddb-b5cb-0dfd4937214c,1,210.83,600000,10000,10000,3,50,0.6,0.6
70d2acef-7587-4a19-8641-fc31eb67e369,2,215.55,600000,10000,10000,3,50,0.6,0.6
fe42bff4-48ee-4bf3-9f82-002db9222ae6,1,263.31,700000,10000,10000,3,50,0.6,0.6
f04d2a46-35a2-46d6-93fd-5071ac55fe72,2,248.12,700000,10000,10000,3,50,0.6,0.6
e0c67ea9-fa22-4b79-9f5e-16547e08e031,1,279.35,800000,10000,10000,3,50,0.6,0.6
2102e357-ab57-48ab-b35d-9e8c4bf6bf51,2,281.26,800000,10000,10000,3,50,0.6,0.6
